,City,Country,Lat,Lng,Date,Max Temp,Humidity,Clouds,Wind Speed
376,ovsyanka,RU,53.58,126.91,1565570318.0,70.01,50.0,2.0,4.5
377,whitehorse,CA,60.72,-135.06,1565570186.0,68.0,42.0,75.0,5.82
378,tongren,CN,27.72,109.18,1565570320.0,76.49,73.0,0.0,0.83
379,acapulco,MX,16.86,-99.88,1565570162.0,86.0,74.0,75.0,9.17
380,tortoli,IT,39.93,9.66,1565570323.0,84.0,32.0,0.0,1.99
381,kichmengskiy gorodok,RU,59.99,45.81,1565570324.0,36.17,93.0,0.0,6.22
382,najran,SA,17.54,44.22,1565570325.0,84.2,32.0,40.0,9.17
383,namatanai,PG,-3.66,152.44,1565570326.0,80.63,73.0,74.0,4.14
384,tasiilaq,GL,65.61,-37.64,1565570328.0,39.2,93.0,0.0,6.93
385,ronne,FR,48.45,0.83,1565570329.0,55.4,93.0,0.0,3.36
386,lensk,RU,60.71,114.91,1565570330.0,64.61,59.0,14.0,12.91
387,kaeo,NZ,-35.1,173.78,1565570331.0,61.0,100.0,21.0,1.01
388,sambava,MG,-14.27,50.17,1565570333.0,60.47,82.0,33.0,3.94
389,pasighat,IN,28.06,95.33,1565570334.0,73.97,86.0,36.0,3.96
390,abha,SA,18.22,42.5,1565570335.0,68.0,88.0,40.0,6.93
391,santa rosa,AR,-36.62,-64.29,1565570264.0,50.21,30.0,33.0,6.96
392,terme,TR,41.21,36.97,1565570337.0,64.4,88.0,0.0,3.36
393,westport,US,41.14,-73.36,1565570339.0,77.0,44.0,1.0,5.82
394,deniliquin,AU,-35.53,144.96,1565570340.0,55.99,64.0,0.0,8.99
395,namikupa,MZ,-10.84,39.63,1565570341.0,63.53,97.0,0.0,2.39
396,natal,BR,-5.81,-35.21,1565570342.0,75.2,83.0,20.0,6.93
397,nova olinda do norte,BR,-3.89,-59.1,1565570344.0,80.09,49.0,24.0,1.72
398,tautira,PF,-17.73,-149.15,1565570173.0,84.2,66.0,20.0,5.82
399,antequera,ES,37.02,-4.56,1565570346.0,82.4,28.0,0.0,17.22
400,manyana,AU,-35.26,150.51,1565570347.0,60.01,54.0,40.0,10.29
402,ambilobe,MG,-13.19,49.05,1565570349.0,63.89,79.0,12.0,8.95
403,pimentel,BR,-3.7,-45.5,1565570350.0,75.95,62.0,0.0,1.45
405,sahuaripa,MX,29.05,-109.23,1565570351.0,89.45,48.0,10.0,4.16
406,cayenne,GF,4.94,-52.33,1565570352.0,78.8,88.0,0.0,3.58
407,komsomolets,RU,52.77,41.29,1565570125.0,50.57,86.0,45.0,6.22
409,lahaina,US,20.87,-156.68,1565570355.0,87.8,58.0,20.0,8.05
410,hobyo,SO,5.35,48.53,1565570207.0,75.23,74.0,0.0,21.61
411,vila,IT,45.18,8.4,1565570357.0,79.0,73.0,75.0,3.36
412,goderich,CA,43.74,-81.71,1565570358.0,73.99,70.0,27.0,7.54
413,davila,PH,18.47,120.58,1565570360.0,84.2,89.0,75.0,11.41
414,riberalta,BO,-11.0,-66.08,1565570361.0,86.0,55.0,0.0,1.86
415,guerrero negro,MX,27.97,-114.04,1565570362.0,65.69,88.0,14.0,15.08
416,bouca,CF,6.51,18.28,1565570363.0,69.29,98.0,100.0,3.11
417,cabedelo,BR,-6.97,-34.84,1565570364.0,73.4,88.0,40.0,3.36
418,chipinge,ZW,-20.19,32.62,1565570366.0,61.37,52.0,0.0,4.54
419,zunheboto,IN,26.02,94.53,1565570367.0,67.67,86.0,71.0,4.14
420,ivanivka,UA,46.71,34.54,1565570368.0,69.65,48.0,1.0,3.98
421,ardakan,IR,32.31,54.02,1565570370.0,82.4,10.0,0.0,6.93
422,lasa,CY,34.92,32.53,1565570213.0,77.0,68.0,0.0,8.05
423,omboue,GA,-1.57,9.26,1565570372.0,72.35,81.0,34.0,9.6
424,aswan,EG,24.09,32.9,1565570373.0,85.31,12.0,0.0,8.86
425,valdez,US,61.13,-146.35,1565570374.0,73.4,46.0,20.0,6.93
426,tsiroanomandidy,MG,-18.77,46.05,1565570376.0,58.67,79.0,1.0,2.82
428,hellvik,NO,59.92,5.78,1565570377.0,61.0,93.0,75.0,2.24
429,fort nelson,CA,58.81,-122.69,1565570378.0,73.4,25.0,40.0,3.36
430,port blair,IN,11.67,92.75,1565570379.0,77.0,94.0,90.0,11.41
431,port lincoln,AU,-34.72,135.86,1565570381.0,52.01,70.0,98.0,10.33
432,nishihara,JP,35.74,139.53,1565570382.0,88.0,79.0,75.0,3.36
433,agadez,NE,16.97,7.99,1565570383.0,82.4,65.0,1.0,16.53
434,newala,TZ,-10.94,39.28,1565570385.0,63.89,92.0,0.0,2.82
435,dyurtyuli,RU,55.49,54.86,1565570386.0,55.97,98.0,100.0,11.1
436,egvekinot,RU,66.32,-179.17,1565570112.0,47.15,91.0,100.0,4.5
437,buchanan,LR,5.88,-10.05,1565570389.0,73.4,94.0,75.0,14.58
438,vorukh,KG,39.85,70.57,1565570390.0,69.29,20.0,0.0,7.78
439,mareeba,AU,-16.99,145.42,1565570391.0,75.0,46.0,0.0,12.75
441,bonavista,CA,48.65,-53.11,1565570393.0,64.0,81.0,100.0,1.99
442,biak,ID,-0.91,122.88,1565570394.0,65.51,92.0,100.0,5.19
443,pundaguitan,PH,6.37,126.17,1565570395.0,81.53,78.0,67.0,8.34
444,cherepanovo,RU,54.23,83.37,1565570396.0,52.91,75.0,0.0,4.32
445,tevaitoa,PF,-16.78,-151.5,1565570398.0,79.19,79.0,21.0,13.49
446,kokoda,PG,-8.88,147.74,1565570399.0,62.45,94.0,100.0,1.97
447,tyukhtet,RU,56.54,89.31,1565570400.0,51.83,78.0,51.0,5.37
448,vao,EE,59.1,26.19,1565570401.0,57.41,97.0,63.0,8.66
449,provideniya,RU,64.42,-173.23,1565570403.0,55.4,93.0,90.0,15.66
450,shizunai,JP,42.33,142.37,1565570404.0,67.31,83.0,100.0,14.65
451,atasu,KZ,48.68,71.64,1565570405.0,66.95,40.0,23.0,9.75
452,zhob,PK,31.34,69.45,1565570406.0,70.01,79.0,15.0,2.71
453,chatellerault,FR,46.8,0.53,1565570407.0,59.0,87.0,0.0,3.36
455,quipama,CO,5.52,-74.18,1565570409.0,77.03,70.0,53.0,2.42
456,jalu,LY,29.03,21.55,1565570410.0,75.41,72.0,0.0,10.16
457,kysyl-syr,RU,63.9,122.77,1565570411.0,68.39,61.0,0.0,2.19
458,ciudad bolivar,VE,8.12,-63.55,1565570412.0,79.55,77.0,7.0,6.04
459,uvinza,TZ,-5.1,30.39,1565570414.0,65.33,56.0,0.0,0.87
460,antalaha,MG,-14.9,50.28,1565570415.0,56.33,95.0,1.0,3.38
461,pero pinheiro,PT,38.86,-9.32,1565570416.0,64.99,82.0,20.0,11.41
462,tura,RU,64.27,100.22,1565570417.0,55.25,61.0,100.0,3.56
463,simao,CN,22.76,100.79,1565570419.0,67.31,97.0,78.0,0.98
464,salalah,OM,17.01,54.1,1565570420.0,77.0,88.0,75.0,5.82
465,neiafu,TO,-18.65,-173.98,1565570421.0,80.6,78.0,20.0,10.29
466,vila do maio,CV,15.13,-23.22,1565570422.0,78.8,78.0,75.0,12.75
467,las cruces,CL,-33.5,-71.62,1565570394.0,51.8,100.0,0.0,15.84
468,sun city west,US,33.66,-112.34,1565570425.0,104.0,24.0,1.0,9.46
469,galle,GN,10.08,-12.83,1565570426.0,67.67,99.0,100.0,3.09
470,maiduguri,NG,11.84,13.15,1565570427.0,76.85,75.0,100.0,14.5
471,malazgirt,TR,39.15,42.54,1565570428.0,55.25,71.0,0.0,5.46
472,veisiejai,LT,54.1,23.7,1565570429.0,66.0,94.0,74.0,6.13
473,kharopon,GR,41.27,23.38,1565570431.0,77.0,81.0,0.0,2.86
474,dwarka,IN,28.58,77.04,1565570432.0,90.0,83.0,75.0,5.82
475,amarwara,IN,22.3,79.17,1565570433.0,70.55,94.0,100.0,10.07
476,rorvik,NO,64.86,11.24,1565570434.0,63.0,85.0,98.0,16.93
477,california city,US,35.13,-117.99,1565570436.0,96.8,27.0,1.0,18.34
479,bin qirdan,TN,33.14,11.22,1565570437.0,73.61,83.0,0.0,6.42
480,lufilufi,WS,-13.87,-171.6,1565570438.0,80.01,88.0,3.0,15.01
481,marsa matruh,EG,31.35,27.25,1565570439.0,79.37,73.0,0.0,6.89
483,adrar,DZ,27.87,-0.29,1565570441.0,96.8,9.0,0.0,10.29
484,izumo,JP,35.37,132.75,1565570442.0,89.6,58.0,75.0,4.7
485,porto novo,BR,-23.68,-45.44,1565570443.0,64.4,88.0,0.0,4.7
487,atotonilco el grande,MX,20.29,-98.67,1565570445.0,66.77,73.0,95.0,10.56
488,nouadhibou,MR,20.93,-17.03,1565570446.0,73.4,73.0,0.0,23.04
489,cap malheureux,MU,-19.98,57.61,1565570447.0,72.0,73.0,40.0,12.75
490,dakar,SN,14.69,-17.45,1565570448.0,82.4,83.0,20.0,9.17
491,wajir,KE,1.75,40.07,1565570450.0,72.53,58.0,28.0,15.48
493,sao filipe,CV,14.9,-24.5,1565570451.0,76.67,81.0,0.0,15.84
494,biaora,IN,23.92,76.91,1565570452.0,75.23,90.0,66.0,10.13
495,sao joao da barra,BR,-21.64,-41.05,1565570214.0,71.6,88.0,0.0,4.7
496,moose factory,CA,51.26,-80.61,1565570454.0,69.8,46.0,75.0,6.93
497,kamaishi,JP,39.28,141.86,1565570456.0,73.4,88.0,75.0,3.36
498,hellin,ES,38.51,-1.7,1565570457.0,71.01,30.0,0.0,8.05
499,oksfjord,NO,70.24,22.35,1565570458.0,57.2,87.0,100.0,11.41
500,jumla,NP,29.28,82.18,1565570459.0,54.89,93.0,100.0,1.99
501,juazeiro,BR,-9.43,-40.51,1565570461.0,78.8,57.0,40.0,13.87
502,sao felix do xingu,BR,-6.64,-51.99,1565570462.0,74.87,40.0,0.0,1.52
503,kariba,ZW,-16.53,28.78,1565570463.0,65.51,55.0,0.0,5.57
504,piltene,LV,57.23,21.67,1565570464.0,57.2,100.0,0.0,3.36
505,spearfish,US,44.49,-103.86,1565570465.0,75.99,83.0,1.0,5.82
506,chernyshevskiy,RU,63.01,112.47,1565570467.0,62.45,63.0,0.0,8.75
507,riyadh,SA,24.63,46.72,1565570357.0,84.2,23.0,0.0,4.7
508,el alto,BO,-16.5,-68.19,1565570378.0,42.8,70.0,0.0,10.29
509,bethel,US,60.79,-161.76,1565570470.0,64.4,77.0,40.0,13.87
510,erzincan,TR,39.75,39.49,1565570471.0,57.2,71.0,0.0,1.12
511,khani,GE,41.96,42.96,1565570217.0,64.4,93.0,40.0,2.24
512,quatre cocos,MU,-20.21,57.76,1565570474.0,72.0,73.0,40.0,12.75
513,burnie,AU,-41.05,145.91,1565570475.0,53.01,52.0,59.0,8.01
514,pitimbu,BR,-7.47,-34.81,1565570476.0,73.4,88.0,40.0,3.36
515,chapais,CA,49.78,-74.86,1565570478.0,60.8,77.0,75.0,3.36
516,acobamba,PE,-11.35,-75.66,1565570479.0,40.31,78.0,70.0,6.29
517,gornyak,KZ,51.0,81.46,1565570480.0,58.13,56.0,0.0,5.03
518,chodavaram,IN,17.44,81.78,1565570481.0,75.41,91.0,100.0,4.41
519,colesberg,ZA,-30.72,25.1,1565570482.0,39.05,78.0,0.0,8.66
520,gondanglegi,ID,-7.75,112.01,1565570484.0,71.45,87.0,10.0,5.79
521,sovetskiy,RU,56.76,48.47,1565570485.0,45.35,91.0,90.0,12.53
522,lahat,ID,-3.78,103.55,1565570486.0,66.05,66.0,37.0,3.2
523,temple,US,31.1,-97.34,1565570487.0,98.6,41.0,1.0,5.82
524,saint-augustin,CA,45.63,-73.98,1565570488.0,75.2,64.0,75.0,2.24
525,paamiut,GL,61.99,-49.67,1565570490.0,45.17,76.0,18.0,13.47
526,faridpur,BD,23.6,89.84,1565570491.0,78.8,88.0,75.0,5.82
527,tucuman,PE,-17.17,-70.89,1565570492.0,48.77,37.0,0.0,2.15
528,cao bang,VN,22.67,106.25,1565570493.0,77.75,87.0,84.0,0.63
529,kalmunai,LK,7.42,81.82,1565570495.0,77.03,69.0,99.0,3.33
530,paracuru,BR,-3.41,-39.03,1565570496.0,78.8,83.0,0.0,8.05
531,hovd,NO,63.83,10.7,1565570497.0,62.01,93.0,75.0,5.82
532,bathsheba,BB,13.22,-59.52,1565570498.0,80.6,83.0,40.0,19.46
533,seoul,KR,37.57,126.98,1565570473.0,78.8,94.0,90.0,4.7
534,muisne,EC,0.61,-80.02,1565570501.0,73.79,83.0,7.0,14.99
535,ilhabela,BR,-23.78,-45.36,1565570502.0,70.19,85.0,55.0,7.49
536,ereymentau,KZ,51.62,73.1,1565570503.0,69.65,43.0,81.0,6.64
537,port hedland,AU,-20.31,118.58,1565570504.0,73.4,20.0,56.0,12.75
538,lyubim,RU,58.36,40.69,1565570505.0,40.31,88.0,8.0,4.09
540,bud,NO,62.91,6.91,1565570507.0,59.0,93.0,99.0,5.82
541,ulladulla,AU,-35.36,150.48,1565570508.0,55.4,54.0,40.0,10.29
542,matara,BI,-3.48,29.48,1565570509.0,50.57,73.0,1.0,1.21
543,chara,GR,39.42,22.43,1565570510.0,80.6,47.0,0.0,0.92
547,sulangan,PH,11.14,123.72,1565570512.0,81.71,67.0,91.0,4.63
549,payo,ID,-3.75,103.64,1565570513.0,66.05,66.0,37.0,3.2
550,gwadar,PK,25.12,62.33,1565570515.0,81.35,79.0,100.0,11.21
552,beyneu,KZ,45.32,55.19,1565570516.0,68.39,54.0,0.0,15.7
553,fez,MA,34.03,-5.02,1565570517.0,69.8,43.0,0.0,11.41
554,zolotukhino,RU,52.08,36.38,1565570518.0,57.0,88.0,95.0,3.6
555,mahajanga,MG,-15.72,46.32,1565570520.0,68.0,64.0,0.0,3.36
556,huilong,CN,31.15,106.5,1565570237.0,80.81,79.0,0.0,2.55
557,nioaque,BR,-21.16,-55.83,1565570522.0,75.77,36.0,0.0,3.22
558,khash,IR,28.22,61.21,1565570523.0,73.61,15.0,100.0,8.52
559,los llanos de aridane,ES,28.66,-17.92,1565570524.0,73.4,73.0,0.0,12.75
560,springbok,ZA,-29.67,17.88,1565570526.0,49.67,86.0,88.0,2.39
561,la asuncion,AR,-26.05,-65.39,1565570527.0,45.17,35.0,0.0,1.86
562,bandarbeyla,SO,9.49,50.81,1565570528.0,75.05,67.0,0.0,29.73
563,honningsvag,NO,70.98,25.97,1565570529.0,48.2,93.0,75.0,2.24
564,high rock,BS,26.63,-78.28,1565570530.0,86.0,74.0,75.0,5.82
566,santiago de cao,PE,-7.96,-79.24,1565570532.0,60.8,87.0,90.0,8.05
569,lodja,CD,-3.52,23.6,1565570533.0,74.87,77.0,95.0,2.35
571,weligama,LK,5.97,80.42,1565570535.0,82.43,80.0,94.0,16.46
572,yeppoon,AU,-23.13,150.74,1565570536.0,64.4,25.0,0.0,9.17
573,watertown,US,44.9,-97.12,1565570516.0,77.0,69.0,1.0,3.36
574,barcelos,BR,-0.97,-62.93,1565570538.0,74.51,94.0,50.0,1.9
575,maralal,KE,1.1,36.7,1565570539.0,61.91,77.0,77.0,6.78
576,amsterdam,NL,52.37,4.89,1565570509.0,64.4,77.0,20.0,11.41
577,rio gallegos,AR,-51.62,-69.22,1565570542.0,29.51,69.0,31.0,7.16
578,christchurch,NZ,-43.53,172.64,1565570401.0,52.0,87.0,17.0,3.36
579,puerto leguizamo,CO,-0.19,-74.78,1565570544.0,71.09,97.0,19.0,2.35
580,kutum,SD,14.2,24.66,1565570545.0,70.19,74.0,58.0,25.1
581,millinocket,US,45.66,-68.71,1565570546.0,69.01,60.0,20.0,3.36
582,mugla,BG,41.62,24.49,1565570548.0,69.8,56.0,0.0,8.05
583,kompaniyivka,UA,48.25,32.21,1565570549.0,64.79,72.0,60.0,3.4
584,evensk,RU,61.92,159.24,1565570550.0,60.11,61.0,100.0,11.72
585,grantham,GB,52.91,-0.64,1565570551.0,53.6,93.0,0.0,6.93
587,kamina,CD,-8.74,25.0,1565570553.0,64.97,36.0,0.0,3.38
588,dunedin,NZ,-45.87,170.5,1565570436.0,51.01,64.0,80.0,18.01
589,hofn,IS,64.25,-15.21,1565570555.0,32.03,80.0,100.0,15.68
590,saint anthony,US,43.97,-111.68,1565570556.0,75.2,22.0,1.0,23.04
591,coruripe,BR,-10.12,-36.18,1565570557.0,68.21,96.0,18.0,4.38
592,champerico,MX,16.38,-93.6,1565570559.0,84.2,70.0,40.0,12.75
593,puerto madryn,AR,-42.77,-65.04,1565570463.0,41.0,86.0,75.0,8.05
594,peleduy,RU,59.63,112.75,1565570561.0,64.43,52.0,73.0,9.01
595,cabinda,AO,-5.56,12.19,1565570562.0,71.99,82.0,0.0,11.16
597,aginskoye,RU,51.11,114.54,1565570564.0,65.33,65.0,34.0,6.26
598,hamilton,CA,43.26,-79.87,1565570565.0,79.0,68.0,20.0,8.05
599,milkovo,BG,41.53,24.68,1565570566.0,75.99,56.0,0.0,8.05
600,alexandria,RO,43.97,25.33,1565570567.0,74.87,40.0,0.0,7.63
601,horsham,AU,-36.71,142.2,1565570568.0,45.17,73.0,10.0,5.61
602,sohag,EG,26.55,31.7,1565570570.0,79.19,18.0,0.0,3.6
603,san quintin,PH,17.54,120.52,1565570571.0,78.47,91.0,100.0,9.55
604,mount isa,AU,-20.73,139.49,1565570572.0,60.8,36.0,0.0,16.11
605,chute-aux-outardes,CA,49.12,-68.38,1565570573.0,62.6,72.0,1.0,8.05
606,quimper,FR,48.0,-4.1,1565570575.0,60.01,100.0,40.0,2.24
607,porbandar,IN,21.64,69.61,1565570407.0,81.89,82.0,40.0,22.5
608,vrangel,RU,42.73,133.08,1565570577.0,63.89,86.0,100.0,1.52
609,kattivakkam,IN,13.22,80.32,1565570578.0,86.0,62.0,40.0,11.41
610,krasnoarmeysk,RU,56.12,38.15,1565570580.0,53.01,100.0,0.0,2.24
611,anloga,GH,5.79,0.9,1565570581.0,75.2,88.0,20.0,11.41
612,mackay,CA,53.65,-115.58,1565570582.0,59.0,93.0,90.0,2.24
613,tual,ID,-5.67,132.75,1565570583.0,77.03,80.0,92.0,21.39
614,ino,JP,33.55,133.43,1565570584.0,87.8,62.0,75.0,3.36
615,aras,ES,42.56,-2.36,1565570586.0,62.6,67.0,0.0,5.82
616,muli,CN,28.08,109.56,1565570587.0,78.11,75.0,0.0,1.79
617,kolomak,UA,49.84,35.31,1565570588.0,59.93,82.0,39.0,1.39
618,fort pierce,US,27.45,-80.33,1565570589.0,81.0,94.0,1.0,3.36
619,cocorit,MX,27.57,-109.96,1565570591.0,100.4,27.0,5.0,6.93
